createdDate,name,playerClass
2015-01-16 09:37:27.264,handlockk,Warlock
2015-01-16 19:20:30.700,Shadow Word: wwlos,Priest
2015-01-17 01:29:43.814,Freshca Fish Freeze,Mage
2015-01-17 03:10:29.396,sprint leeroy miracle,Rogue
2015-01-17 03:13:28.480,Whisp Whisperer,Druid
2015-01-17 04:20:36.985,Heroic Sapphiron - Mill Mage,Mage
2015-01-17 04:35:48.713,Test,Druid
2015-01-17 06:20:51.116,This is (not) aggro,Paladin
2015-01-17 17:18:00.378,Deathrattle Priest in Gvg,Priest
2015-01-17 20:00:16.746,Hot Steppin,Rogue
2015-01-17 20:35:01.605,speel priest,Priest
2015-01-17 21:53:13.442,"All you have to do it's rockbiter this undertaker , CJ.",Shaman
2015-01-18 01:55:05.905,TheBinder's Legend Climb Hunter,Hunter
2015-01-18 02:32:24.242,ramp priest,Priest
2015-01-18 03:14:58.014,StrifeCro Mech Mage,Mage
2015-01-18 04:27:29.612,BECOME LEGENDARY,Paladin
2015-01-18 06:46:09.731,op rogue,Rogue
2015-01-18 07:43:26.776,Savj Midrange Paladin,Paladin
2015-01-18 07:58:15.350,Hotform Skygolem Paladin,Paladin
2015-01-18 12:40:56.546,StrifeCro Ramp Druid,Druid
2015-01-18 13:59:01.508,Innovade's Mech Mage,Mage
2015-01-18 15:24:56.690,Totem Salt,Shaman
2015-01-18 15:41:16.742,Gazlowe Mech Shaman,Shaman
2015-01-18 18:43:26.594,Tempo Mech Rogue,Rogue
2015-01-18 19:20:54.294,Yujurex's Control Rogue,Rogue
2015-01-18 19:41:28.800,Yujurex's Mech Shaman,Shaman
2015-01-18 20:42:54.290,Beginner Decks: Priest,Priest
2015-01-18 22:03:34.128,Mid to late game Tempo Druid,Druid
2015-01-19 00:21:55.837,Tempo Storm Face Hunter Guide,Hunter
2015-01-19 01:21:10.341,Kolento Mill,Mage
2015-01-19 01:25:33.196,Ipoiliw's GVG Watcher Druid,Druid
2015-01-19 03:39:09.754,RNG GUIDE ME,Shaman
2015-01-19 04:51:52.584,Rogue Midrange/Tempo,Rogue
2015-01-19 05:20:16.928,Priest,Priest
2015-01-19 06:24:01.808,"STORM EARTH AND FIRE, HEED MY CALL",Shaman
